非集成业务场景清单,,,,,,,,,,,,,,,,,
序号,一级目录,二级目录,三级目录编码,三级目录,业务场景编码,明细业务场景,涉及借方科目,涉及贷方科目,业务场景说明,"对应表单名称
（主表单）","对应表单名称
（业务信息表）",支持性附件名称,表单设计单位,表单设计人,场景状态,备注,
471,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20046,总部支持服务费收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
2401001000 递延收益-与资产有关的政府补助
2401002000 递延收益-与收益有关的政府补助
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000 其他业务收入-其他业务收入
2221001002 应交税费-应交税金-应交增值税-销项税额",是指地区公司机关收取下级单位的总部支持服务费收入，直接由地区公司机关开具专用发票与二级单位进行结算,收入确认单,总部支持服务费收入表,,成都中心,曹政,正常,,
472,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20041,住宿费收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
2401001000 递延收益-与资产有关的政府补助
2401002000 递延收益-与收益有关的政府补助
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000 其他业务收入-其他业务收入
2221001002 应交税费-应交税金-应交增值税-销项税额",是指企业或个人提供住宿服务所取得的收入,收入确认单,住宿费收入表,,西安中心,郭雅莹,正常,,
473,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20050,晒图费收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000 其他业务收入-其他业务收入
2221001002 应交税费-应交税金-应交增值税-销项税额",是指在设计和绘图过程中，将设计图纸通过晒图机输出到感光材料上所产生的费用。,收入确认单,晒图费收入汇总表,,成都中心,曹政,正常,,
474,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20051,中意人寿保险委托服务收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6301998000 营业外收入-其他
2221001002 应交税费-应交税金-应交增值税-销项税额",是指企业为中意人寿保险公司提供保险业务销售、客户服务等活动所获得的收入,收入确认单,中意人寿保险委托服务收入汇总表,,成都中心,曹政,正常,,
475,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20052,地磅过磅服务费收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000 其他业务收入-其他业务收入
2221001002 应交税费-应交税金-应交增值税-销项税额",指企业为客户提供地磅进行称重服务而取得的收入,收入确认单,地磅过磅服务费收入汇总表,,西安中心,蒲芊芊,正常,,
476,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20053,污水处理费收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000 其他业务收入-其他业务收入
2221001002 应交税费-应交税金-应交增值税-销项税额",指企业因提供污水处理服务，按照规定向污水排放者收取的费用所形成的收入,收入确认单,污水处理费收入,,成都中心,曹政,正常,,
477,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20054,小微企业”六税两费“减免,"2221001052 应交税费-应交税金-资源税-原油
2221001053 应交税费-应交税金-资源税-天然气
2221001054 应交税费-应交税金-资源税-凝析油
2221001056 应交税费-应交税金-资源税-煤层气
2221001057 应交税费-应交税金-资源税-黏土
2221001058 应交税费-应交税金-资源税-砂石
2221001059 应交税费-应交税金-资源税-页岩气
2221001060 应交税费-应交税金-资源税-致密气
2221001061 应交税费-应交税金-资源税-硫化氢气
2221001062 应交税费-应交税金-资源税-天然气水合物
2221001063 应交税费-应交税金-资源税-油页岩
2221001064 应交税费-应交税金-资源税-油砂
2221001065 应交税费-应交税金-资源税-天然沥青
2221001066 应交税费-应交税金-资源税-石煤
2221001067 应交税费-应交税金-资源税-地热
2221001997 应交税费-应交税金-资源税-其他
2221001071 应交税费-应交税金-城市维护建设税-增值税
2221001072 应交税费-应交税金-城市维护建设税-消费税
2221001073 应交税费-应交税金-房产税-自用房产
2221001074 应交税费-应交税金-房产税-出租房产 
2221001075 应交税费-应交税金-城镇土地使用税-大城市
2221001076 应交税费-应交税金-城镇土地使用税-中等城市
2221001077 应交税费-应交税金-城镇土地使用税-小城市
2221001078 应交税费-应交税金-城镇土地使用税-县城、建制镇、工矿区
2221001082 应交税费-应交税金-印花税
2221001083 应交税费-应交税金-耕地占用税 
2221002001 应交税费-行政性收费-应交教育费附加-教育费附加-增值税
2221002002 应交税费-行政性收费-应交教育费附加-教育费附加-消费税 
2221002003 应交税费-行政性收费-应交教育费附加-地方教育费-增值税
2221002004 应交税费-行政性收费-应交教育费附加-地方教育费-消费税",6302998000其他收益-其他,指小微企业按照政府相关文件满足”六税两费“税收优惠政策条件时，通过填写该场景确认相关税收减免,收入确认单,小微企业”六税两费“减免,,成都中心,曹政,正常,,
478,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20040,旅游收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000 其他业务收入-其他业务收入
2221001002 应交税费-应交税金-应交增值税-销项税额",指企业为客户提供旅游服务、销售旅游商品所收取的旅游收入，且无合同、金额不超过5万,收入确认单,旅游收入,,西安中心,白婧,正常,,
479,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20055,商品销售收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000 其他业务收入-其他业务收入
2221001002 应交税费-应交税金-应交增值税-销项税额",指企业超市中的库存商品，转移所有权并取得相应的销售收入,收入确认单,商品销售收入,,西安中心,郭雅莹,正常,,
480,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20056,停车费收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000 其他业务收入-其他业务收入
2221001002 应交税费-应交税金-应交增值税-销项税额",指停车费收入业务,收入确认单,停车费收入,,西安中心,郭雅莹,正常,,
481,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20044,共享服务费收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000 其他业务收入-其他业务收入
2221001002 应交税费-应交税金-应交增值税-销项税额",指通过提供共享服务所获得的费用收入，比如服务费用、广告推广、数据价值等,收入确认单,共享服务费收入,,西安中心,蒲芊芊,正常,,
482,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20042,会议费收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000 其他业务收入-其他业务收入
2221001002 应交税费-应交税金-应交增值税-销项税额",指企业通过举办会议所获得的收入,收入确认单,会议费收入,,西安中心,蒲芊芊,正常,,
483,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20043,检验检测服务收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000 其他业务收入-其他业务收入
2221001002 应交税费-应交税金-应交增值税-销项税额",指提供检验检测服务的企业或个人基于其技术能力和服务水平收取的费用，属于技术服务收入或检测收入,收入确认单,检验检测服务收入,,西安中心,蒲芊芊,正常,,
484,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20057,公寓床位费收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000 其他业务收入-其他业务收入
2221001002 应交税费-应交税金-应交增值税-销项税额",通常指地区公司对外出租床位收取的费用,收入确认单,公寓床位费收入,,大庆中心,许美玲,正常,,
485,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20058,文体馆营业收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000 其他业务收入-其他业务收入
2221001002 应交税费-应交税金-应交增值税-销项税额",通常指企业自营的文体馆营业收入,收入确认单,文体馆营业收入,,大庆中心,许美玲,正常,,
486,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20059,工本费收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000 其他业务收入-其他业务收入
2221001002 应交税费-应交税金-应交增值税-销项税额",通常是指企业为员工、外部单位办理出入证、工作证、培训结业证等证件产生的工本费用收入,收入确认单,工本费收入,,西安中心,曹琳,正常,,
487,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20060,广电业务收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000 其他业务收入-其他业务收入
2221001002 应交税费-应交税金-应交增值税-销项税额",通常是指企业为员工、外部单位提供电视收视、广告服务等业务活动所产生的经济收益,收入确认单,广电业务收入,,西安中心,曹琳,正常,,
488,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20061,合资合作项目上级管理费收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000 其他业务收入-其他业务收入
2221001002 应交税费-应交税金-应交增值税-销项税额",按合作项目产品分成合同中方账应收取的上级管理费收入、联合账名义工资收入等,收入确认单,合资合作项目上级管理费收入,,成都中心,付春丽,正常,,
489,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20062,绿化及环境卫生费收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000 其他业务收入-其他业务收入
2221001002 应交税费-应交税金-应交增值税-销项税额",通常是指企业通过提供环境维护与绿化相关服务所获得的经济收益，比如垃圾清运服务费、植被养护、景观工程等,收入确认单,绿化及环境卫生费收入,,西安中心,曹琳,正常,,
490,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20063,通讯服务收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000 其他业务收入-其他业务收入
2221001002 应交税费-应交税金-应交增值税-销项税额",通常是指企业通过提供通讯服务所获得的收入，比如电信服务、数据传输等,收入确认单,通讯服务收入,,西安中心,曹琳,正常,,
491,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20064,运输服务收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000 其他业务收入-其他业务收入
2221001002 应交税费-应交税金-应交增值税-销项税额",通常是指企业通过提供运输服务所获得的收入，比如货物运输、装卸搬运收入等,收入确认单,运输服务收入,,西安中心,曹琳,正常,,
492,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20065,文印费收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","①6051001000其他业务收入-其他业务收入
②2221001002应交税费-应交税金-应交增值税-销项税额",指企业提供打印、复印、印刷、装订等文印服务收取的费用，主要包含出入证工本费、印刷费,收入确认单,文印费收入,,成都中心,曹政,正常,,
493,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20066,理发服务收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","①6051001000其他业务收入-其他业务收入
②2221001002应交税费-应交税金-应交增值税-销项税额",指企业提供洗剪吹烫染等服务收入的费用,收入确认单,理发服务收入,,成都中心,曹政,正常,,
494,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20067,确认咨询服务收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000其他业务收入-其他业务收入
2221001002应交税费-应交税金-应交增值税-销项税额",指地区公司提供咨询服务收取相应费用产生的收入,收入确认单,确认咨询服务收入,,成都中心,曹政,正常,,
495,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20068,土方款收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","①6051001000其他业务收入-其他业务收入
②2221001002应交税费-应交税金-应交增值税-销项税额",指地区公司收入的土方款收入,收入确认单,土方款收入业务信息表,,大庆中心,孙再冉,正常,,
496,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20070,浴池门票收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","①6051001000其他业务收入-其他业务收入
②2221001002应交税费-应交税金-应交增值税-销项税额",指地区公司收取的浴池门票收入,收入确认单,浴池收入（门票）业务信息表,,大庆中心,包旋,正常,,
497,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20071,物资采购服务收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","①6051001000其他业务收入-其他业务收入
②2221001002应交税费-应交税金-应交增值税-销项税额",指地区公司收取的物资采购服务费收入,收入确认单,物资采购服务费业务信息表,,大庆中心,陈景喆,正常,,
498,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20073,计划生育管理收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","6051001000其他业务收入-其他业务收入
",指地区公司收取的驻矿计划生育管理费,收入确认单,驻矿单位计划生育管理费业务信息表,,大庆中心,刘小群,正常,,
499,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20074,违纪款收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",6301998000营业外收入-其他,指地区公司收取的个人或单位违纪款收入,收入确认单,个人/单位违纪款业务信息表,,大庆中心,岳中庆,正常,,
500,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20075,交通费收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","①6051001000其他业务收入-其他业务收入
②2221001002应交税费-应交税金-应交增值税-销项税额",指地区公司收取的外单位职工办公期间的用车交通费收入,收入确认单,交通收入业务信息表,,大庆中心,于晓玲,正常,,
501,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20077,扩岗补助收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",6301015000营业外收入-政府扩岗补助,指地区公司收取的黑龙江省人社、教育厅和财政厅下拨的扩岗补助收入，激励企业吸纳高校毕业生，扩大市场化就业渠道,收入确认单,扩岗补助业务信息表,,大庆中心,于晓玲,正常,,
502,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20078,集团科研收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","①6051001000其他业务收入-其他业务收入
②2221001002应交税费-应交税金-应交增值税-销项税额",指地区公司收取集团公司拨付的科研收入,收入确认单,集团科研收入业务信息表,,大庆中心,于晓玲,正常,,
503,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20079,散灰服务费收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","①6051001000其他业务收入-其他业务收入
②2221001002应交税费-应交税金-应交增值税-销项税额",指地区公司购进水泥再加工后卖出取得的收入,收入确认单,散灰服务费收入业务信息表,,大庆中心,岳中庆,正常,,
504,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20080,年审收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","①6051001000其他业务收入-其他业务收入
②2221001002应交税费-应交税金-应交增值税-销项税额",指地区公司审核外部供应商相关资质取得的外审收入,收入确认单,年审收入业务信息表,,大庆中心,岳中庆,正常,,
505,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20081,滞纳金收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",6301001000营业外收入-罚没利得,指地区公司收取的因预存的电话费、网费不足以抵扣欠费，停机、销号或其他原因产生滞纳金收入,收入确认单,滞纳金收入业务信息表,,大庆中心,张盼晨,正常,,
506,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20069,知识产权专项收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目","①6301998000营业外收入-其他
②2221001002应交税费-应交税金-应交增值税-销项税额",指地区公司收取的知识产权专项经费收入,收入确认单,知识产权专项收入业务信息表,,大庆中心,孙再冉,正常,,
507,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20072,稳定服务收入,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",6301998000营业外收入-其他,指地区公司收取的稳定费收入,收入确认单,稳定服务收入收入业务信息表,,大庆中心,刘小群,正常,,
508,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20001,零星出售材料收入（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回临时发生的出售原材料取得的收入,收入确认单,零星出售材料收入确认单,,大庆中心,石悦,正常,,
509,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20002,出售生物性资产收入（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回出售生物性资产取得的收入,收入确认单,出售生物性资产收入确认单,,成都中心,赵青,正常,,
510,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20003,出售废旧物资收入（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回出售废旧物资取得收入,收入确认单,出售废旧物资收入确认单,,成都中心,周游,正常,,
511,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20004,转供水收入（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指非供水企业退回出售给施工单位等第三方水取得的收入,收入确认单,转供水收入确认单,,西安中心,曹琳,正常,,
512,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20005,转供电收入（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指非供水企业退回出售给施工单位等第三方电取得的收入,收入确认单,转供电收入确认单,,西安中心,曹琳,正常,,
513,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20006,出租广告位收入（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回出租加油站等具有宣传效应的灯箱、广告牌等取得的收入,收入确认单,出租广告位收入确认单,,西安中心,李丽杰,正常,,
514,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20007,出租包装物收入（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回出租包装物取得的收入,收入确认单,出租包装物收入确认单,,大庆中心,石悦,正常,,
515,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20008,出租资产收入（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回出租商品取得的收入,收入确认单,出租资产收入确认单,,西安中心,徐丽君,正常,,
516,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20010,手续费收入（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回取得的手续费收入,收入确认单,手续费收入确认单,"办卡手续费明细表、
个税返还手续费明细表、
代扣其他税款手续费明细表",西安中心,蒲芊芊,正常,,
517,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20011,培训费收入（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回提供培训服务取得的收入,收入确认单,培训费收入确认单,培训收入明细表,西安中心,李妍昕,正常,,
518,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20012,借聘劳务收入（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回将员工借聘至其他单位取得的劳务收入,收入确认单,借聘劳务收入确认单,借聘人员明细表,西安中心,白婧,正常,,
519,销售至应收,收入确认及退回,A2_01_0001,收入确认,A20013,仓储服务收入（退回）,"1122001000 应收账款-应收账款
1013001000 内部存款-内部结算存款
1013003001 内部存款-总部存款-日常
1012011000 其他货币资金-加油（气）站资金
1012998000 其他货币资金-其他
1221998000 其他应收款-其他
1221005998 其他应收款-补贴款-其他
核销未清项科目",参考同名收入确认业务场景,是指企业退回提供仓储服务取得的收入,收入确认单,仓储服务收入确认单,,西安中心,曹琳,正常,,
